"","high_tech_trade_pc","r_d_gdp_pct","r_d_bud_pct","use_cloud_pct","weeknd_work_pct","emp_deadline_pct","phycisians_per_1000"
"Austria",0.513566798972692,1.60563948834228,0.883098833388155,-0.439665402629621,0.672394739498526,-0.117115607308815,1.8315823069231
"Belgium",1.7009581287091,0.866921409704546,-0.121484495598371,0.448547531975673,-0.242001981503568,0.297860954021631,-0.754831832681619
"Bulgaria",-1.12714657588952,-0.896470132850056,-1.38305425758145,-0.883771869932267,-0.555151543490586,-1.16608413733856,0.477188725180893
"Croatia",-1.00626801022292,-1.03944782548962,1.06999805738565,-1.32787833723491,-0.667885385805912,-0.485983661824768,-0.568641118150291
"Czechia",0.639650995121652,0.259266215986406,0.579387594392229,-0.550692019455282,-0.592729490929028,-1.07386712370957,5.47454615245617e-16
"Denmark",0.566276426846551,1.61755429606225,1.53724611737938,2.00292016753494,-0.517573596052143,0.966434302831796,0.377280412805797
"Estonia",0.449716709545008,-0.276900131411952,1.25689728138314,0.670600765626997,-0.354735823818894,-0.543619295342885,-0.275433504033385
"Finland",0.137699353354845,1.39117294938294,1.16344766938439,1.00368061610398,0.0586215980039698,-0.0594799737906972,-0.373479559514493
"France",-0.172858697993471,0.628625255305276,-0.098122092598684,-0.661718636280944,0.810180546772814,0.19411681368902,-0.652569950171164
"Germany",0.235242442202375,1.46266179570272,1.88768216237468,-0.217612168978297,0.271563300155143,-0.336131014677662,0.646631714971514
"Greece",-1.13561203011595,-0.872640517410128,-0.495282943593357,-0.772745253106606,2.45108425158479,1.45057362438398,2.76407152036072
"Hungary",-0.0305480284473197,-0.431792631771478,-1.4765038695802,0.00444106467302637,-1.83280175639762,0.263279573910761,-0.673653162511164
"Ireland",3.03034931371347,-0.622429555290894,-0.518645346593043,1.11470723292964,0.985544301485544,0.562984868204973,-0.621785362814457
"Italy",-0.846437808092257,-0.431792631771478,-0.40183333159461,-0.661718636280944,1.39890172330841,-0.693471942489991,0.239716270696147
"Latvia",-0.488917365735838,-1.28965878760885,-1.61667828757831,-0.439665402629621,-0.242001981503568,-1.53495219185451,-0.561644456364122
"Lithuania",-0.531807057001614,-0.789236863370384,-0.588732555592103,-0.994798486757929,-0.717989315723835,-1.21219264415305,1.20579930868957
"Netherlands",0.624622790434406,0.533306793545567,0.929823639387528,1.22573384975531,0.872810459170217,-0.42834802830665,-0.172883651215381
"Poland",-0.838852158282374,-0.836896094250238,-0.47192054059367,-1.21685172040925,-1.16892468498514,-1.01623149019145,-1.61835297140935
"Portugal",-0.901451190675565,-0.550940708971113,-0.915806197587716,-0.439665402629621,-1.82027577391814,0.0673184199491609,1.19183173237346
"Romania",-1.05671253125514,-1.44455128796838,-1.10270542158521,-0.328638785803959,0.597238844621641,2.28052674704488,-1.08673425315538
"Slovakia",1.10827293925369,-0.646259170730822,-0.635457361591476,-0.661718636280944,0.00851766808604707,-1.40815379811465,-0.230409062056922
"Slovenia",-0.335161621317569,0.592880832145385,-0.798994182589283,-0.661718636280944,-0.29210591142149,0.39007796765062,-1.00294960830283
"Spain",-0.859770615040381,-0.57477032441104,0.228951549396929,0.00444106467302637,0.935440371567621,1.07017844316441,0.253078672996352
"Sweden",0.735334638576205,1.80819121958166,0.929823639387528,1.78086693388361,-0.930931017875008,1.09323269657166,0.687522088626744
"United Kingdom",-0.410146846660077,-0.0624335924526089,0.158864340397869,2.00292016753494,0.872810459170217,1.43904649768036,-1.08133426124375
